FY,Total_MWh_Dispatched,Total_Revenue,VWAP,State,Fuel_Type
2020,0.0,0.0,,NSW,Battery
2021,0.0,0.0,,NSW,Battery
2022,13780.540833333333,5091472.798675,369.4682857699888,NSW,Battery
2023,22553.7175,6361941.651825,282.07951313680326,NSW,Battery
2024,102064.6125,28423693.05505,278.4872480170343,NSW,Battery
2025,0.9425,62.365225,66.17,NSW,Battery
2020,53793194.69833333,4078936653.59075,75.82625788382722,NSW,Coal-Black
2021,51019642.32416666,3543295363.224692,69.4496315891718,NSW,Coal-Black
2022,47181011.575,6556802706.716184,138.97121930701596,NSW,Coal-Black
2023,45829840.85166667,7376732917.754833,160.95916504773479,NSW,Coal-Black
2024,45062056.123333335,5118279602.769083,113.58291305573194,NSW,Coal-Black
2025,621.695,41137.558150000004,66.17,NSW,Coal-Black
2020,0.0,0.0,,NSW,Diesel
2021,0.0,0.0,,NSW,Diesel
2022,980.625,517315.51725000003,527.5365376673041,NSW,Diesel
2023,736.5333333333333,890489.2595833333,1209.027778217777,NSW,Diesel
2024,628.6083333333333,1128296.03,1794.9110283297762,NSW,Diesel
2025,0.0,0.0,,NSW,Diesel
2020,2009134.2791666666,289084771.82303333,143.8852419276514,NSW,Gas
2021,939883.5766666667,153334243.21425,163.14174119102688,NSW,Gas
2022,2293563.8266666667,550898379.8603083,240.19317598889418,NSW,Gas
2023,1612766.9891666668,416147817.382275,258.0334420146477,NSW,Gas
2024,1264244.0333333334,380260175.9403833,300.7806767636316,NSW,Gas
2025,0.018333333333333333,1.2131166666666666,66.17,NSW,Gas
2020,2088744.8316666668,271218393.15115833,129.8475472155906,NSW,Hydro
2021,2808119.6991666667,396644580.0318083,141.24917116229622,NSW,Hydro
2022,2946306.7275,687904996.9495167,233.48044198141505,NSW,Hydro
2023,3432004.8925,760717323.3109584,221.65391575442177,NSW,Hydro
2024,2809130.1325,668557698.61745,237.99456311497525,NSW,Hydro
2025,0.0,0.0,,NSW,Hydro
2020,1875.2216666666666,1860523.3654916666,992.1618326855581,NSW,Liquid
2021,-7.786666666666667,-355.20000000000005,45.61643835616439,NSW,Liquid
2022,-6.599166666666667,-620.90655,94.08862987750979,NSW,Liquid
2023,0.0,0.0,,NSW,Liquid
2024,0.0,0.0,,NSW,Liquid
2025,0.0,0.0,,NSW,Liquid
2020,1613196.89,115822418.81075834,71.79682748505569,NSW,Solar
2021,2696070.591666667,130036299.43490833,48.23178585784804,NSW,Solar
2022,4241293.919166666,387379393.544975,91.33519179002988,NSW,Solar
2023,5302370.336666667,455167510.96404165,85.84227092108065,NSW,Solar
2024,6890404.855,375273556.2179,54.4632084928339,NSW,Solar
2025,0.0,0.0,,NSW,Solar
2020,4068178.715,260698509.728125,64.08236412203071,NSW,Wind
2021,4415609.899166667,246537267.33719167,55.833117727116075,NSW,Wind
2022,5418919.660833334,709158209.1897167,130.867083030469,NSW,Wind
2023,5607930.058333334,788024984.5913084,140.5197597677436,NSW,Wind
2024,5479563.8375,491523537.1808917,89.7012155998797,NSW,Wind
2025,61.57,4074.0869000000002,66.17,NSW,Wind
2020,0.0,0.0,,QLD,Battery
2021,0.0,0.0,,QLD,Battery
2022,6388.134166666667,6177094.571941666,966.9638130291304,QLD,Battery
2023,42551.35166666667,11860859.437091667,278.74224842505004,QLD,Battery
2024,72016.12833333333,20400489.831791665,283.27668126459264,QLD,Battery
2025,-0.011666666666666667,-0.73185,62.73,QLD,Battery
2020,48396310.15083333,2701502838.5604835,55.820429907588036,QLD,Coal-Black
2021,46130813.92333333,2807699349.456725,60.863858897502965,QLD,Coal-Black
2022,44431661.4075,7484846460.658475,168.45749682894018,QLD,Coal-Black
2023,43200208.17666667,6709917213.1102085,155.32140923187436,QLD,Coal-Black
2024,43573856.5575,4356507234.664483,99.97984063943576,QLD,Coal-Black
2025,459.7391666666667,28839.437925,62.73,QLD,Coal-Black
2020,4301.656666666667,444607.602875,103.35729634590393,QLD,Diesel
2021,39601.56416666666,23472254.962175,592.7102996081153,QLD,Diesel
2022,75672.01,54011976.360191666,713.7642618478308,QLD,Diesel
2023,17127.851666666666,12531548.281333333,731.6474082807233,QLD,Diesel
2024,35940.7725,27192830.4795,756.6011687561808,QLD,Diesel
2025,0.0,0.0,,QLD,Diesel
2020,5804391.201666667,371698603.57964164,64.0374831167328,QLD,Gas
2021,5290317.239166667,600065035.4284,113.42704195238821,QLD,Gas
2022,4885891.594166666,1377604361.8991084,281.9555725599498,QLD,Gas
2023,4473314.690833333,1069245185.9420416,239.02749076275074,QLD,Gas
2024,3992876.4816666665,736497817.236725,184.45294278908008,QLD,Gas
2025,14.885,933.73605,62.73,QLD,Gas
2020,610460.795,43100811.334858336,70.60373358596817,QLD,Hydro
2021,921660.6,102459558.156275,111.16842594364455,QLD,Hydro
2022,1095492.4266666668,344644097.9436917,314.6019904422023,QLD,Hydro
2023,1246097.18,271928902.23195,218.22447446029048,QLD,Hydro
2024,1309691.6066666667,191480357.28221667,146.20262992259586,QLD,Hydro
2025,7.199166666666667,451.603725,62.73,QLD,Hydro
2020,3005815.5591666666,124877221.08950834,41.54520416553082,QLD,Solar
2021,3064697.5608333335,109742939.37631667,35.808733879266065,QLD,Solar
2022,3418240.8008333333,347609474.3004917,101.69250633710415,QLD,Solar
2023,4988974.0225,321110542.2997,64.36404375960048,QLD,Solar
2024,5979825.585833333,183133286.66300833,30.62518865046251,QLD,Solar
2025,0.0033333333333333335,0.2091,62.73,QLD,Solar
2020,898945.365,43300773.57656667,48.16841519235896,QLD,Wind
2021,1592448.9516666667,81879940.7316,51.417623557668186,QLD,Wind
2022,1837970.21,279051915.43930835,151.82613620234267,QLD,Wind
2023,2125001.694166667,292967681.1762417,137.86703416776845,QLD,Wind
2024,2861855.8666666667,239836799.18146667,83.804639491092,QLD,Wind
2025,18.6675,1171.012275,62.730000000000004,QLD,Wind
2020,23417.595,3485379.726575,148.83593838628605,VIC,Battery
2021,24893.13,2036085.8957916666,81.79308491104439,VIC,Battery
2022,89237.9925,19364840.684083335,217.0021998655263,VIC,Battery
2023,144319.27,29105775.363575,201.6762928718736,VIC,Battery
2024,188565.62916666668,27318206.898375,144.87373451409522,VIC,Battery
2025,0.0008333333333333334,0.1593416666666667,191.21,VIC,Battery
2020,33731129.69833333,2484435352.5587835,73.65408080837389,VIC,Coal-Brown
2021,34123836.69583333,1573019857.2412,46.09739142941311,VIC,Coal-Brown
2022,32549143.485,3134157536.92875,96.290015691906,VIC,Coal-Brown
2023,31499904.615833335,3405514617.1956916,108.11190251934667,VIC,Coal-Brown
2024,32181674.121666666,2319393107.1595917,72.07185985386741,VIC,Coal-Brown
2025,372.305,71188.43905,191.21,VIC,Coal-Brown
2020,2311973.3358333334,366314668.185925,158.44242773409394,VIC,Gas
2021,1178740.9483333332,128622735.20939167,109.11874690639725,VIC,Gas
2022,1529168.2525,372380402.23391664,243.5182666296668,VIC,Gas
2023,1205614.3708333333,354860526.60410833,294.33999393921044,VIC,Gas
2024,983716.2958333333,242447578.73040834,246.46087470272545,VIC,Gas
2025,41.64333333333334,7962.621766666668,191.21,VIC,Gas
2020,2197976.8,339635024.45729166,154.52166030928612,VIC,Hydro
2021,2703936.0525,223827021.3321,82.77822292622432,VIC,Hydro
2022,2559682.3966666665,475515355.70755,185.77123330878374,VIC,Hydro
2023,2910757.41,562533937.3343917,193.26032990650074,VIC,Hydro
2024,2544381.6975,373959891.233375,146.97476074474673,VIC,Hydro
2025,47.98583333333334,9175.371191666669,191.21000000000004,VIC,Hydro
2020,693599.3258333333,49129169.01856667,70.83220411083853,VIC,Solar
2021,1157418.0658333334,33879174.10205,29.27133686794254,VIC,Solar
2022,1519996.3608333333,72869614.51405,47.94065064346566,VIC,Solar
2023,1560130.61,80278501.35489167,51.4562696484057,VIC,Solar
2024,1634455.31,43411507.85435,26.560229324563178,VIC,Solar
2025,0.0,0.0,,VIC,Solar
2020,4157472.2158333333,253061415.34344167,60.869057495966324,VIC,Wind
2021,5833722.3225,209803877.71268332,35.96398081950074,VIC,Wind
2022,7713601.676666667,593845123.9728416,76.98675001189122,VIC,Wind
2023,9128385.1425,657766753.13795,72.05729632019083,VIC,Wind
2024,8856696.778333334,384145952.5033917,43.373501669736605,VIC,Wind
2025,46.77333333333333,8943.529066666668,191.21000000000004,VIC,Wind
2020,47257.79083333333,5287812.107891667,111.89291785857037,SA,Battery
2021,84735.70833333333,7230309.814116667,85.32777923651827,SA,Battery
2022,88133.21916666666,19021373.19158333,215.82524014710572,SA,Battery
2023,74396.00916666667,21810800.9907,293.1716530901282,SA,Battery
2024,133380.74916666668,25549911.775775,191.5562173357488,SA,Battery
2025,0.028333333333333335,5.7936000000000005,204.48,SA,Battery
2020,3935.8333333333335,4427930.853758333,1125.0300708257462,SA,Diesel
2021,7284.9575,7227795.315183333,992.1533948802492,SA,Diesel
2022,25449.155,18405571.576608334,723.2291829181886,SA,Diesel
2023,8322.346666666666,5598258.4470833335,672.6778721566513,SA,Diesel
2024,5448.839166666667,5043077.390008333,925.5324364975597,SA,Diesel
2025,0.0,0.0,,SA,Diesel
2020,6269861.0408333335,569273444.4520583,90.7952250846688,SA,Gas
2021,5226231.416666667,369712861.34028333,70.74177009484383,SA,Gas
2022,4078273.7241666666,704166932.4855083,172.66298932139335,SA,Gas
2023,3624112.8325,900818252.1779166,248.56241894557974,SA,Gas
2024,3343095.3475,581209184.3887334,173.85360690456147,SA,Gas
2025,99.85833333333333,20419.032,204.48,SA,Gas
2020,3143.3358333333335,2461397.9558833335,783.0528096239584,SA,Liquid
2021,702.1583333333333,1339032.0562583334,1907.022950082484,SA,Liquid
2022,14407.590833333334,9185028.669175,637.5131536859419,SA,Liquid
2023,11678.003333333334,8800698.5434,753.6132926319311,SA,Liquid
2024,1845.9925,2164015.874925,1172.2777177724179,SA,Liquid
2025,-0.008333333333333333,-1.704,204.48,SA,Liquid
2020,483288.49333333335,26936570.675425,55.73600664406121,SA,Solar
2021,672812.82,14669114.769875,21.802668340765265,SA,Solar
2022,698108.4391666667,39459074.50834167,56.52284415218363,SA,Solar
2023,804445.4425,42259535.77308334,52.53250691774954,SA,Solar
2024,950662.93,31402176.715891667,33.031872522779096,SA,Solar
2025,0.0,0.0,,SA,Solar
2020,5797305.444166667,262110318.9887,45.2124390396644,SA,Wind
2021,5738541.5008333335,172948632.06443334,30.138081608248065,SA,Wind
2022,6131414.871666667,486330758.71566665,79.31786853357555,SA,Wind
2023,6651477.260833333,541191556.043225,81.36411428931528,SA,Wind
2024,5976509.2275,328074363.51958334,54.893977576408474,SA,Wind
2025,21.873333333333335,4472.6592,204.48,SA,Wind
2020,97276.455,8031487.087425,82.5635256488839,TAS,Gas
2021,84895.18416666667,5342133.565258333,62.926226236468594,TAS,Gas
2022,43775.775,12171204.9764,278.0351684556127,TAS,Gas
2023,79170.795,12444047.395633334,157.1797705913315,TAS,Gas
2024,230964.33833333335,36027118.49894167,155.98563292895224,TAS,Gas
2025,17.355,4515.4239,260.18,TAS,Gas
2020,9225086.0075,503978359.72438335,54.631291167870806,TAS,Hydro
2021,7783344.900833333,364249924.0966167,46.79863589979391,TAS,Hydro
2022,9147248.795833332,912683168.688975,99.77679508451894,TAS,Hydro
2023,7901946.491666666,1020569503.4126333,129.15419061479577,TAS,Hydro
2024,7186690.156666666,563791359.96935,78.44937623286211,TAS,Hydro
2025,46.9575,12217.40235,260.18,TAS,Hydro
2020,792278.0608333333,38277417.450175,48.31311043740638,TAS,Wind
2021,1310579.125,46189443.08493333,35.243536390779404,TAS,Wind
2022,1359148.99,92571010.73805,68.10953870336908,TAS,Wind
2023,1283456.5125,117610616.87704167,91.63584097442622,TAS,Wind
2024,1343433.6583333334,69882042.76676667,52.01748693230038,TAS,Wind
2025,2.6950000000000003,701.1851000000001,260.18,TAS,Wind
